1,2,7,8,89
1,1,7,2,89
1,3,7,14,89
1,1,7,2,89
1,3,7,48,89
1,1,7,2,89
1,1,7,2,89
1,1,7,1,89
1,1,7,1,89
1,1,7,2,89
1,1,7,2,89
1,2,7,4,89
1,1,7,1,89
1,7,7,35,89
1,3,7,48,89
1,3,7,48,89
1,2,7,8,89
1,3,7,48,89
1,1,7,2,89
1,2,7,4,89
2,3,7,50,89
2,7,7,40,89
2,7,7,37,89
2,3,7,6,89
2,7,7,37,89
2,3,7,8,89
2,5,7,22,89
2,3,7,14,89
2,3,7,14,89
2,3,7,5,89
2,7,7,37,89
2,2,7,3,89
2,3,7,6,89
2,5,7,56,89
2,2,7,10,89
2,3,7,50,89
2,2,7,3,89
2,4,7,16,89
2,7,7,37,89
2,3,7,49,89
3,4,7,7,89
3,7,7,40,89
3,7,7,82,89
3,7,7,40,89
3,7,7,44,89
3,5,7,22,89
3,7,7,45,89
3,4,7,10,89
3,3,7,53,89
3,4,7,52,89
3,5,7,18,89
3,4,7,52,89
3,7,7,45,89
3,4,7,16,89
3,3,7,12,89
3,5,7,53,89
3,7,7,40,89
3,7,7,39,89
3,3,7,52,89
3,5,7,18,89
4,7,7,48,89
4,5,7,57,89
4,7,7,84,89
4,7,7,42,89
4,5,7,24,89
4,7,7,78,89
4,7,7,47,89
4,5,7,56,89
4,6,7,57,89
4,6,7,20,89
4,4,7,11,89
4,4,7,54,89
4,7,7,47,89
4,7,7,46,89
4,5,7,60,89
4,7,7,78,89
4,7,7,78,89
4,5,7,22,89
4,5,7,18,89
4,7,7,48,89
5,5,7,13,89
5,7,7,79,89
5,6,7,63,89
5,7,7,44,89
5,7,7,84,89
5,7,7,85,89
5,7,7,48,89
5,7,7,40,89
5,7,7,81,89
5,7,7,81,89
5,6,7,59,89
5,7,7,46,89
5,7,7,42,89
5,7,7,44,89
5,5,7,61,89
5,5,7,61,89
5,7,7,42,89
5,6,7,59,89
5,7,7,46,89
5,5,7,61,89
6,7,7,48,89
6,7,7,46,89
6,6,7,61,89
6,6,7,61,89
6,7,7,48,89
6,5,7,61,89
6,6,7,24,89
6,7,7,83,89
6,6,7,15,89
6,7,7,48,89
6,7,7,50,89
6,7,7,49,89
6,6,7,62,89
6,7,7,84,89
6,7,7,89,89
6,7,7,88,89
6,7,7,87,89
6,6,7,22,89
6,7,7,86,89
6,6,7,24,89
7,7,7,88,89
7,7,7,87,89
7,7,7,87,89
7,7,7,87,89
7,7,7,85,89
7,5,7,63,89
7,7,7,85,89
7,7,7,87,89
7,7,7,89,89
7,7,7,85,89
7,6,7,63,89
7,7,7,46,89
7,7,7,89,89
7,7,7,89,89
7,5,7,63,89
7,7,7,50,89
7,7,7,87,89
7,6,7,59,89
7,6,7,59,89
7,6,7,63,89
8,7,7,89,89
8,7,7,89,89
8,7,7,89,89
8,7,7,85,89
8,7,7,89,89
8,7,7,89,89
8,7,7,87,89
8,7,7,89,89
8,7,7,89,89
8,7,7,89,89
8,7,7,89,89
8,7,7,85,89
8,7,7,89,89
8,7,7,89,89
8,7,7,89,89
8,7,7,85,89
8,7,7,89,89
8,7,7,50,89
8,7,7,89,89
8,7,7,89,89
9,7,7,89,89
9,7,7,89,89
9,7,7,89,89
9,7,7,89,89
9,7,7,89,89
9,7,7,89,89
9,7,7,89,89
9,7,7,89,89
9,7,7,89,89
9,7,7,89,89
9,7,7,89,89
9,7,7,89,89
9,7,7,89,89
9,7,7,89,89
9,7,7,89,89
9,7,7,89,89
9,7,7,89,89
9,7,7,89,89
9,7,7,89,89
9,7,7,89,89
